epoch,lr,alpha,train_loss,mixed_loss,gold_stability_loss,train_accuracy,mean_r_prob,mean_r_sim,mean_gold_consistency,mean_control,val_loss,val_accuracy,test_loss,test_accuracy
1,0.001,2.0,0.9556576632347763,0.8236879779495405,1.31969690626026,0.2658937920718025,0.2089653072200253,0.8400642235241635,0.24052024832749064,0.32220272386617954,2.0875449305150044,0.43283582089552236,2.3016186264424916,0.436163714111179
2,0.001,2.0,0.7821125207592858,0.675627035174516,1.0648548515679324,0.3505983545250561,0.2089653072200253,0.8400642206709868,0.24052025118066736,0.3222027260060621,1.8768003574058192,0.5373134328358209,2.0906514316050835,0.4758704948075748
3,0.001,2.0,0.6997571068195237,0.6075423875225955,0.9221471983635702,0.39771877337322364,0.20896530686337822,0.8400642263773402,0.2405202529639028,0.322202721726297,1.7312006799142752,0.5149253731343284,1.986166638940591,0.5076359193646915
4,0.001,2.0,0.649192257879738,0.5671612499985306,0.8203100418545188,0.4317501869857891,0.2089653072200253,0.8400642163912218,0.24052025189396153,0.322202725649415,1.7664850567703816,0.5895522388059702,1.9283414637816703,0.5210751374465485
5,0.001,2.0,0.6044409743600045,0.5316483557625502,0.7279261886493965,0.45175766641735227,0.2089653072200253,0.8400642206709868,0.2405202493974319,0.3222027285025917,1.6320691019741458,0.5298507462686567,1.8669137634295987,0.5284056200366524
6,0.001,2.0,0.5617064803771858,0.4960614555392055,0.6564502545765468,0.47700074794315633,0.20896530650673112,0.8400642163912218,0.24052024797084354,0.32220272386617954,1.5716873060411483,0.5671641791044776,1.795185075930582,0.5436774587660355
7,0.001,2.0,0.5268081372677611,0.46807522009626285,0.5873291725174384,0.5078534031413613,0.20896530187031898,0.8400642178178102,0.24052024975407899,0.322202725649415,1.5053078034030858,0.5597014925373134,1.7942144088651906,0.5418448381185095
8,0.001,2.0,0.5079386454513025,0.4527712768374224,0.5516736599252396,0.5203814510097232,0.20896530686337822,0.8400642192443984,0.24052024583096102,0.3222027224395912,1.5409266005701094,0.5970149253731343,1.697692237325609,0.5662797800855223
9,0.001,2.0,0.47252921132606274,0.423431349897349,0.49097860715419567,0.5336574420344053,0.2089653075766724,0.8400642206709868,0.24052024868413774,0.3222027224395912,1.473746455427426,0.582089552238806,1.6522099039652176,0.5766646304215027
10,0.001,2.0,0.4476632104048376,0.40288725198875547,0.4477596003213924,0.5510471204188482,0.2089653040102015,0.8400642149646333,0.24052025153731443,0.3222027245794737,1.4683232165094633,0.6119402985074627,1.643238477686519,0.5864386072083079
11,0.001,2.0,0.4258997478231888,0.3846798276580263,0.41219920885143835,0.568623784592371,0.20896530294026022,0.8400642206709868,0.24052025153731443,0.32220272386617954,1.442547180759373,0.5746268656716418,1.6502828931546314,0.58094074526573
12,0.001,2.0,0.40450031104690565,0.36671597608096934,0.3778433574164368,0.5852655198204937,0.20896530543678984,0.8400642220975751,0.24052025011072609,0.3222027210130028,1.5035705326208428,0.582089552238806,1.6197924725369994,0.5913255956017105
13,0.001,2.0,0.3838285020508691,0.3487687812826931,0.3505972149038636,0.5962976813762154,0.20896530650673112,0.8400642178178102,0.24052025046737316,0.3222027249361208,1.4862540052897895,0.5746268656716418,1.6680497212168204,0.5784972510690287
14,0.001,2.0,0.372164257065788,0.3396104617669855,0.3255379434031342,0.5977935676888556,0.20896530686337822,0.8400642249507518,0.24052024868413774,0.32220272279623824,1.455780412723769,0.5895522388059702,1.616307806735659,0.5894929749541845
