epoch,lr,alpha,train_loss,mixed_loss,gold_stability_loss,train_accuracy,mean_r_prob,mean_r_sim,mean_gold_consistency,mean_control,val_loss,val_accuracy,test_loss,test_accuracy
1,0.001,2.0,0.6365126698881716,0.5749005074029441,0.8214954074922499,0.44285714285714284,0.38802257579761545,0.8584326408721589,0.4350635780082954,0.4774525359436706,0.8604699427081692,0.7064516129032258,1.0989661172720102,0.625
2,0.001,2.0,0.5410287003595751,0.48846225443777147,0.7008859132672404,0.5024725274725275,0.38802257841759985,0.8584326408721589,0.43506357591230793,0.4774525380396581,0.7926846215801854,0.7387096774193549,1.0096504281117367,0.6530769230769231
3,0.001,2.0,0.5078522784369333,0.45871063195742096,0.6552219254629953,0.5347527472527472,0.388022577893603,0.8584326398241651,0.43506357276832663,0.47745254118363933,0.7835842282541337,0.7548387096774194,1.0062966940953182,0.6496153846153846
4,0.001,2.0,0.48501738329510113,0.4392654258471269,0.6100260965116732,0.5432692307692307,0.38802257579761545,0.8584326419201526,0.4350635764363048,0.47745253227569245,0.7558995812169967,0.7258064516129032,1.0287033488200261,0.6419230769230769
5,0.001,2.0,0.4631391445359031,0.41964571751081026,0.5799123761418101,0.5623626373626374,0.38802257370162796,0.8584326429681464,0.43506357591230793,0.4774525406596425,0.8043586227201647,0.7322580645161291,1.016437026170584,0.6596153846153846
6,0.001,2.0,0.45440343225395285,0.4105790069470039,0.5843256523320963,0.5744505494505494,0.38802257894159675,0.8584326429681464,0.4350635774842985,0.47745254223163314,0.7281165330640731,0.7548387096774194,0.9566859817504882,0.6842307692307692
7,0.001,2.0,0.42463266469620087,0.38445263504981997,0.5357336906286386,0.5884615384615385,0.3880225773696061,0.8584326440161401,0.4350635743403173,0.47745253961164874,0.7558721334703506,0.7451612903225806,1.070570056438446,0.6473076923076924
8,0.001,2.0,0.41483156982358993,0.37549869562243365,0.5244383247999045,0.6004120879120879,0.38802257841759985,0.8584326387761714,0.4350635738163204,0.47745253699166434,0.6705687476742652,0.7612903225806451,0.9199206704359788,0.6903846153846154
9,0.001,2.0,0.39379996284023744,0.35666446463092344,0.4951399421953893,0.6083791208791208,0.38802257632161236,0.8584326387761714,0.4350635738163204,0.47745254223163314,0.7610307770390664,0.7193548387096774,0.9498316335678101,0.6792307692307692
10,0.001,2.0,0.3807786567525549,0.34456794674579916,0.48280945859112584,0.6302197802197802,0.38802257370162796,0.8584326482081152,0.4350635743403173,0.47745253751566125,0.6666264437860058,0.7645161290322581,0.913033946294051,0.6896153846153846
11,0.001,2.0,0.36792854516060797,0.3336165481871301,0.45749326302455023,0.6354395604395604,0.38802257422562486,0.8584326419201526,0.43506357329232354,0.4774525380396581,0.6744835811276589,0.8,0.9182571253409753,0.698076923076923
12,0.001,2.0,0.35753207770022716,0.32430452075633376,0.44303403346093145,0.640521978021978,0.38802257632161236,0.8584326356321901,0.43506357276832663,0.47745253908765184,0.6690203139858861,0.7677419354838709,1.0147527300394499,0.6680769230769231
13,0.001,2.0,0.34394670397370725,0.3107941573792761,0.4420339394401718,0.6589285714285714,0.38802257579761545,0.8584326429681464,0.43506357486431413,0.4774525401356456,0.6305271560145963,0.8032258064516129,0.9038813513975877,0.7
14,0.001,2.0,0.3181322320476993,0.28920979761815335,0.38563244395203644,0.6751373626373627,0.38802257422562486,0.8584326345841963,0.43506357538831103,0.47745253908765184,0.6785968403662405,0.7709677419354839,0.9263545610354497,0.6942307692307692
15,0.001,2.0,0.3050848852802109,0.27601759885693644,0.3875637902663304,0.6896978021978022,0.3880225752736186,0.8584326408721589,0.4350635722443298,0.477452538563655,0.6174249241428991,0.7903225806451613,0.9230066488339351,0.7019230769230769
16,0.001,2.0,0.30235252183872263,0.27364347079297996,0.3827873267970242,0.6945054945054945,0.38802257632161236,0.8584326387761714,0.4350635769603017,0.47745253908765184,0.6430331030199604,0.7935483870967742,0.9759794117854191,0.6857692307692308
17,0.001,2.0,0.28823696073594984,0.26149489277011745,0.35656090061088186,0.7024725274725274,0.3880225747496217,0.8584326419201526,0.4350635774842985,0.47745253646766744,0.5935500071894738,0.7967741935483871,0.9095754898511447,0.705
18,0.001,2.0,0.2738690017343877,0.24829634120176128,0.3409688174069583,0.7149725274725275,0.3880225768456092,0.8584326387761714,0.4350635774842985,0.47745253699166434,0.6698503828817798,0.7741935483870968,0.938795473758991,0.686923076923077
19,0.001,2.0,0.26070625565864225,0.23606950706178015,0.32848996991639606,0.7274725274725274,0.3880225752736186,0.8584326366801839,0.4350635738163204,0.477452538563655,0.6641952779985243,0.7741935483870968,0.9086228539393498,0.7119230769230769
20,0.001,2.0,0.24995372956925696,0.22568744624054038,0.3235504092750969,0.7337912087912087,0.3880225768456092,0.8584326408721589,0.43506357329232354,0.4774525380396581,0.772049985008855,0.7451612903225806,0.9919237032303443,0.6811538461538461
