epoch,lr,alpha,train_loss,mixed_loss,gold_stability_loss,train_accuracy,mean_r_prob,mean_r_sim,mean_gold_consistency,mean_control,val_loss,val_accuracy,test_loss,test_accuracy
1,0.001,2.0,0.6809564576044187,0.5667431338802799,0.7614220840590341,0.4478021978021978,0.38802257579761545,0.8584326440161401,0.43506357853229227,0.47745253646766744,0.8486131229708271,0.7096774193548387,1.0810564261216384,0.6219230769230769
2,0.001,2.0,0.5724449301813985,0.4792972632161864,0.6209844289245187,0.5057692307692307,0.38802257841759985,0.8584326461121277,0.43506357591230793,0.4774525380396581,0.7819798919462388,0.7354838709677419,0.9872443215663617,0.6553846153846153
3,0.001,2.0,0.5335426689504267,0.44944397034225886,0.5606579890617958,0.5384615384615384,0.388022577893603,0.8584326429681464,0.43506357276832663,0.47745254118363933,0.7454748611296377,0.7645161290322581,0.9926144935534551,0.6569230769230769
4,0.001,2.0,0.5160261279934055,0.43677430663790023,0.5283454541976635,0.5471153846153847,0.38802257579761545,0.8584326450641339,0.43506357591230793,0.47745253227569245,0.739014425969893,0.7290322580645161,1.044637589271252,0.64
5,0.001,2.0,0.48933108167333916,0.4165577622560354,0.4851554600747077,0.5673076923076923,0.38802257370162796,0.8584326429681464,0.43506357591230793,0.47745254223163314,0.7921909243829789,0.7290322580645161,1.0404036793342004,0.6511538461538462
6,0.001,2.0,0.48094634734667263,0.4083175773804004,0.4841917838369097,0.576510989010989,0.38802257894159675,0.8584326440161401,0.4350635774842985,0.47745254275563,0.6963030811279051,0.7580645161290323,0.9259611028891344,0.6884615384615385
7,0.001,2.0,0.4466088978798835,0.38303737319432773,0.4238101500076252,0.5936813186813187,0.3880225773696061,0.8584326450641339,0.4350635743403173,0.4774525401356456,0.654027098225009,0.7709677419354839,0.962852168083191,0.676923076923077
8,0.001,2.0,0.4340676882764795,0.3715674468449184,0.4166682676954584,0.6056318681318681,0.38802257841759985,0.8584326419201526,0.4350635738163204,0.4774525380396581,0.671034449531186,0.7516129032258064,0.9605135798454285,0.6788461538461539
9,0.001,2.0,0.40958942083212047,0.35340106447974406,0.3745890167388287,0.6181318681318682,0.38802257632161236,0.8584326398241651,0.4350635738163204,0.47745254223163314,0.7187174608630519,0.7548387096774194,0.9064442036702083,0.6938461538461539
10,0.001,2.0,0.3930701995943929,0.34094933716805426,0.3474724022241739,0.6346153846153846,0.38802257370162796,0.8584326503041027,0.4350635743403173,0.47745253751566125,0.6221967908643907,0.7870967741935484,0.8801217106672433,0.7
11,0.001,2.0,0.3804757145079938,0.3317944496542543,0.3245417459980472,0.6399725274725274,0.38802257422562486,0.8584326419201526,0.4350635738163204,0.4774525380396581,0.6301178982180934,0.7935483870967742,0.8971201166739831,0.7038461538461539
12,0.001,2.0,0.36150263777145974,0.3170912335207174,0.29607601316420584,0.6531593406593407,0.38802257632161236,0.8584326398241651,0.43506357276832663,0.47745253908765184,0.5993453687237155,0.7903225806451613,0.9328528171319228,0.6996153846153846
13,0.001,2.0,0.3454418464676364,0.3023898060505207,0.2870135861438709,0.6668956043956044,0.38802257579761545,0.8584326440161401,0.43506357486431413,0.4774525401356456,0.5595789528662158,0.832258064516129,0.864010948401231,0.7146153846153847
14,0.001,2.0,0.3217340350151062,0.28504762335138006,0.24457607354436603,0.6839285714285714,0.38802257422562486,0.8584326356321901,0.43506357538831103,0.47745253751566125,0.6298955113657059,0.8,0.9594072991151076,0.6934615384615385
15,0.001,2.0,0.31255704721251687,0.2764622090937017,0.2406322513307844,0.6895604395604396,0.3880225752736186,0.8584326419201526,0.4350635722443298,0.47745253908765184,0.5835732033175807,0.8032258064516129,0.8995766423298762,0.7111538461538461
16,0.001,2.0,0.300497653065147,0.2665602922439575,0.22624907477216405,0.7032967032967034,0.38802257632161236,0.8584326398241651,0.4350635780082954,0.47745253961164874,0.6576737507697075,0.7903225806451613,0.9701434062077449,0.6953846153846154
