epoch,lr,alpha,train_loss,mixed_loss,gold_stability_loss,train_accuracy,mean_r_prob,mean_r_sim,mean_gold_consistency,mean_control,val_loss,val_accuracy,test_loss,test_accuracy
1,0.001,2.0,0.6503432488703466,0.570561720250727,0.797815249647413,0.44065934065934065,0.38802257579761545,0.8584326440161401,0.4350635780082954,0.47745253646766744,0.8221130717185235,0.7193548387096774,1.0717956337561974,0.6257692307692307
2,0.001,2.0,0.5530482772942428,0.48543180181429935,0.676164754144438,0.5039835164835165,0.38802257841759985,0.8584326450641339,0.43506357538831103,0.47745253908765184,0.8075658144489412,0.7322580645161291,1.0181602157079257,0.645
3,0.001,2.0,0.5199623674481779,0.4574532144017272,0.6250915495903937,0.5273351648351648,0.388022577893603,0.8584326398241651,0.4350635722443298,0.47745254118363933,0.7888514230328222,0.7419354838709677,1.008152230336116,0.6565384615384615
4,0.001,2.0,0.49922387089048115,0.4406635135084718,0.5856035591481806,0.5418956043956044,0.38802257579761545,0.8584326429681464,0.43506357538831103,0.47745253227569245,0.8098951674276783,0.7258064516129032,1.1077748588415293,0.6219230769230769
5,0.001,2.0,0.478557883645152,0.4235353131215651,0.5502257081178519,0.5567307692307693,0.38802257370162796,0.8584326408721589,0.43506357591230793,0.4774525406596425,0.7803145347102995,0.7387096774193549,1.0065811835802518,0.6580769230769231
6,0.001,2.0,0.46086033359988704,0.4064908034853883,0.54369530075199,0.5721153846153846,0.38802257894159675,0.8584326440161401,0.4350635774842985,0.47745254275563,0.7250232558096609,0.7483870967741936,0.9625816077452439,0.6657692307692308
7,0.001,2.0,0.43503975724125954,0.38560315835606923,0.4943659836119348,0.5895604395604396,0.3880225773696061,0.8584326471601214,0.4350635743403173,0.4774525401356456,0.7153552659096256,0.7709677419354839,1.010868491759667,0.661923076923077
8,0.001,2.0,0.4249344891899235,0.376164954835242,0.4876953343768696,0.5982142857142857,0.38802257841759985,0.8584326387761714,0.4350635743403173,0.47745253699166434,0.6790857180472343,0.7451612903225806,0.9269212915347173,0.6846153846153846
9,0.001,2.0,0.39952029972286013,0.3545824274911985,0.44937870378022665,0.6167582417582418,0.38802257632161236,0.8584326398241651,0.4350635738163204,0.47745254170763624,0.7117854937430351,0.7645161290322581,0.883702351129972,0.6926923076923077
10,0.001,2.0,0.38700326268489543,0.3442621840880467,0.42741079002946286,0.6335164835164835,0.38802257370162796,0.8584326482081152,0.4350635743403173,0.477452538563655,0.7112335420423939,0.7612903225806451,0.9559948348999023,0.68
11,0.001,2.0,0.3724826787199293,0.3318355209224827,0.4064715881924053,0.638598901098901,0.38802257422562486,0.8584326419201526,0.4350635738163204,0.4774525380396581,0.6979284371099165,0.7741935483870968,0.9393587506734408,0.6888461538461539
