label,total,correct,accuracy
0,8,3,0.375
1,12,7,0.5833333333333334
2,8,0,0.0
3,11,0,0.0
4,13,3,0.23076923076923078
5,9,2,0.2222222222222222
6,8,2,0.25
7,17,12,0.7058823529411765
8,9,4,0.4444444444444444
9,9,5,0.5555555555555556
10,17,1,0.058823529411764705
11,17,5,0.29411764705882354
12,10,1,0.1
13,10,2,0.2
14,10,6,0.6
15,8,0,0.0
16,17,13,0.7647058823529411
17,16,3,0.1875
18,10,0,0.0
19,11,1,0.09090909090909091
20,8,4,0.5
21,12,1,0.08333333333333333
22,18,5,0.2777777777777778
23,9,3,0.3333333333333333
24,8,0,0.0
25,8,2,0.25
26,8,3,0.375
27,13,8,0.6153846153846154
28,16,2,0.125
29,17,2,0.11764705882352941
30,11,1,0.09090909090909091
31,9,0,0.0
32,9,1,0.1111111111111111
33,8,0,0.0
34,9,0,0.0
35,15,7,0.4666666666666667
36,22,18,0.8181818181818182
37,11,2,0.18181818181818182
38,8,1,0.125
39,13,5,0.38461538461538464
40,25,11,0.44
41,12,2,0.16666666666666666
42,26,2,0.07692307692307693
43,19,9,0.47368421052631576
44,8,1,0.125
45,39,26,0.6666666666666666
46,13,1,0.07692307692307693
47,14,4,0.2857142857142857
48,10,8,0.8
49,18,9,0.5
50,52,29,0.5576923076923077
51,17,14,0.8235294117647058
52,19,1,0.05263157894736842
53,12,9,0.75
54,14,5,0.35714285714285715
55,22,17,0.7727272727272727
56,13,5,0.38461538461538464
57,23,22,0.9565217391304348
58,13,9,0.6923076923076923
59,22,22,1.0
60,10,9,0.9
61,11,1,0.09090909090909091
62,11,5,0.45454545454545453
63,11,4,0.36363636363636365
64,20,15,0.75
65,12,11,0.9166666666666666
66,9,0,0.0
67,11,2,0.18181818181818182
68,11,1,0.09090909090909091
69,12,9,0.75
70,16,8,0.5
71,19,3,0.15789473684210525
72,39,24,0.6153846153846154
73,34,8,0.23529411764705882
74,24,13,0.5416666666666666
75,21,8,0.38095238095238093
76,50,45,0.9
77,27,7,0.25925925925925924
78,8,2,0.25
79,21,6,0.2857142857142857
80,33,28,0.8484848484848485
81,22,6,0.2727272727272727
82,26,4,0.15384615384615385
83,17,1,0.058823529411764705
84,13,2,0.15384615384615385
85,12,7,0.5833333333333334
86,13,0,0.0
87,31,7,0.22580645161290322
88,37,22,0.5945945945945946
89,16,0,0.0
90,15,5,0.3333333333333333
91,13,1,0.07692307692307693
92,9,2,0.2222222222222222
93,32,9,0.28125
94,26,3,0.11538461538461539
95,18,0,0.0
96,13,2,0.15384615384615385
97,16,5,0.3125
98,13,2,0.15384615384615385
99,10,4,0.4
100,12,0,0.0
101,10,0,0.0
