label,total,correct,accuracy
0,8,1,0.125
1,12,8,0.6666666666666666
2,8,1,0.125
3,11,5,0.45454545454545453
4,13,4,0.3076923076923077
5,9,5,0.5555555555555556
6,8,7,0.875
7,17,8,0.47058823529411764
8,9,8,0.8888888888888888
9,9,4,0.4444444444444444
10,17,0,0.0
11,17,14,0.8235294117647058
12,10,4,0.4
13,10,7,0.7
14,10,4,0.4
15,8,0,0.0
16,17,13,0.7647058823529411
17,16,3,0.1875
18,10,2,0.2
19,11,2,0.18181818181818182
20,8,4,0.5
21,12,6,0.5
22,18,2,0.1111111111111111
23,9,4,0.4444444444444444
24,8,2,0.25
25,8,1,0.125
26,8,3,0.375
27,13,7,0.5384615384615384
28,16,6,0.375
29,17,10,0.5882352941176471
30,11,0,0.0
31,9,0,0.0
32,9,1,0.1111111111111111
33,8,0,0.0
34,9,6,0.6666666666666666
35,15,8,0.5333333333333333
36,22,11,0.5
37,11,1,0.09090909090909091
38,8,1,0.125
39,13,0,0.0
40,25,1,0.04
41,12,6,0.5
42,26,2,0.07692307692307693
43,19,11,0.5789473684210527
44,8,0,0.0
45,39,22,0.5641025641025641
46,13,0,0.0
47,14,13,0.9285714285714286
48,10,8,0.8
49,18,9,0.5
50,52,18,0.34615384615384615
51,17,14,0.8235294117647058
52,19,3,0.15789473684210525
53,12,7,0.5833333333333334
54,14,7,0.5
55,22,16,0.7272727272727273
56,13,3,0.23076923076923078
57,23,14,0.6086956521739131
58,13,6,0.46153846153846156
59,22,12,0.5454545454545454
60,10,3,0.3
61,11,1,0.09090909090909091
62,11,10,0.9090909090909091
63,11,10,0.9090909090909091
64,20,10,0.5
65,12,10,0.8333333333333334
66,9,1,0.1111111111111111
67,11,4,0.36363636363636365
68,11,3,0.2727272727272727
69,12,5,0.4166666666666667
70,16,11,0.6875
71,19,6,0.3157894736842105
72,39,33,0.8461538461538461
73,34,16,0.47058823529411764
74,24,16,0.6666666666666666
75,21,9,0.42857142857142855
76,50,45,0.9
77,27,13,0.48148148148148145
78,8,4,0.5
79,21,3,0.14285714285714285
80,33,27,0.8181818181818182
81,22,2,0.09090909090909091
82,26,5,0.19230769230769232
83,17,0,0.0
84,13,2,0.15384615384615385
85,12,2,0.16666666666666666
86,13,12,0.9230769230769231
87,31,18,0.5806451612903226
88,37,24,0.6486486486486487
89,16,3,0.1875
90,15,3,0.2
91,13,3,0.23076923076923078
92,9,4,0.4444444444444444
93,32,21,0.65625
94,26,11,0.4230769230769231
95,18,2,0.1111111111111111
96,13,4,0.3076923076923077
97,16,6,0.375
98,13,3,0.23076923076923078
99,10,4,0.4
100,12,1,0.08333333333333333
101,10,2,0.2
