label,total,correct,accuracy
0,8,2,0.25
1,12,6,0.5
2,8,0,0.0
3,11,0,0.0
4,13,1,0.07692307692307693
5,9,2,0.2222222222222222
6,8,7,0.875
7,17,8,0.47058823529411764
8,9,5,0.5555555555555556
9,9,3,0.3333333333333333
10,17,0,0.0
11,17,13,0.7647058823529411
12,10,2,0.2
13,10,2,0.2
14,10,5,0.5
15,8,0,0.0
16,17,13,0.7647058823529411
17,16,1,0.0625
18,10,1,0.1
19,11,2,0.18181818181818182
20,8,4,0.5
21,12,1,0.08333333333333333
22,18,4,0.2222222222222222
23,9,3,0.3333333333333333
24,8,2,0.25
25,8,1,0.125
26,8,2,0.25
27,13,7,0.5384615384615384
28,16,4,0.25
29,17,1,0.058823529411764705
30,11,0,0.0
31,9,0,0.0
32,9,1,0.1111111111111111
33,8,0,0.0
34,9,1,0.1111111111111111
35,15,5,0.3333333333333333
36,22,10,0.45454545454545453
37,11,3,0.2727272727272727
38,8,1,0.125
39,13,4,0.3076923076923077
40,25,5,0.2
41,12,4,0.3333333333333333
42,26,8,0.3076923076923077
43,19,12,0.631578947368421
44,8,0,0.0
45,39,21,0.5384615384615384
46,13,0,0.0
47,14,4,0.2857142857142857
48,10,2,0.2
49,18,8,0.4444444444444444
50,52,27,0.5192307692307693
51,17,13,0.7647058823529411
52,19,1,0.05263157894736842
53,12,9,0.75
54,14,9,0.6428571428571429
55,22,18,0.8181818181818182
56,13,4,0.3076923076923077
57,23,22,0.9565217391304348
58,13,8,0.6153846153846154
59,22,18,0.8181818181818182
60,10,9,0.9
61,11,2,0.18181818181818182
62,11,7,0.6363636363636364
63,11,6,0.5454545454545454
64,20,11,0.55
65,12,10,0.8333333333333334
66,9,0,0.0
67,11,2,0.18181818181818182
68,11,2,0.18181818181818182
69,12,1,0.08333333333333333
70,16,5,0.3125
71,19,2,0.10526315789473684
72,39,29,0.7435897435897436
73,34,11,0.3235294117647059
74,24,17,0.7083333333333334
75,21,4,0.19047619047619047
76,50,26,0.52
77,27,8,0.2962962962962963
78,8,2,0.25
79,21,1,0.047619047619047616
80,33,30,0.9090909090909091
81,22,0,0.0
82,26,2,0.07692307692307693
83,17,2,0.11764705882352941
84,13,0,0.0
85,12,4,0.3333333333333333
86,13,3,0.23076923076923078
87,31,6,0.1935483870967742
88,37,19,0.5135135135135135
89,16,4,0.25
90,15,8,0.5333333333333333
91,13,2,0.15384615384615385
92,9,0,0.0
93,32,8,0.25
94,26,10,0.38461538461538464
95,18,3,0.16666666666666666
96,13,4,0.3076923076923077
97,16,8,0.5
98,13,3,0.23076923076923078
99,10,5,0.5
100,12,2,0.16666666666666666
101,10,1,0.1
