label,total,correct,accuracy
0,8,0,0.0
1,12,8,0.6666666666666666
2,8,0,0.0
3,11,2,0.18181818181818182
4,13,1,0.07692307692307693
5,9,4,0.4444444444444444
6,8,3,0.375
7,17,7,0.4117647058823529
8,9,4,0.4444444444444444
9,9,2,0.2222222222222222
10,17,0,0.0
11,17,8,0.47058823529411764
12,10,1,0.1
13,10,6,0.6
14,10,7,0.7
15,8,0,0.0
16,17,12,0.7058823529411765
17,16,4,0.25
18,10,1,0.1
19,11,1,0.09090909090909091
20,8,3,0.375
21,12,5,0.4166666666666667
22,18,3,0.16666666666666666
23,9,2,0.2222222222222222
24,8,0,0.0
25,8,0,0.0
26,8,3,0.375
27,13,9,0.6923076923076923
28,16,6,0.375
29,17,4,0.23529411764705882
30,11,0,0.0
31,9,0,0.0
32,9,0,0.0
33,8,0,0.0
34,9,0,0.0
35,15,9,0.6
36,22,5,0.22727272727272727
37,11,2,0.18181818181818182
38,8,1,0.125
39,13,0,0.0
40,25,1,0.04
41,12,4,0.3333333333333333
42,26,4,0.15384615384615385
43,19,11,0.5789473684210527
44,8,0,0.0
45,39,15,0.38461538461538464
46,13,0,0.0
47,14,4,0.2857142857142857
48,10,2,0.2
49,18,5,0.2777777777777778
50,52,12,0.23076923076923078
51,17,13,0.7647058823529411
52,19,1,0.05263157894736842
53,12,5,0.4166666666666667
54,14,4,0.2857142857142857
55,22,14,0.6363636363636364
56,13,2,0.15384615384615385
57,23,13,0.5652173913043478
58,13,6,0.46153846153846156
59,22,14,0.6363636363636364
60,10,3,0.3
61,11,0,0.0
62,11,3,0.2727272727272727
63,11,8,0.7272727272727273
64,20,5,0.25
65,12,10,0.8333333333333334
66,9,0,0.0
67,11,1,0.09090909090909091
68,11,5,0.45454545454545453
69,12,0,0.0
70,16,13,0.8125
71,19,4,0.21052631578947367
72,39,22,0.5641025641025641
73,34,2,0.058823529411764705
74,24,12,0.5
75,21,4,0.19047619047619047
76,50,48,0.96
77,27,12,0.4444444444444444
78,8,0,0.0
79,21,10,0.47619047619047616
80,33,25,0.7575757575757576
81,22,1,0.045454545454545456
82,26,5,0.19230769230769232
83,17,0,0.0
84,13,1,0.07692307692307693
85,12,2,0.16666666666666666
86,13,10,0.7692307692307693
87,31,16,0.5161290322580645
88,37,22,0.5945945945945946
89,16,0,0.0
90,15,3,0.2
91,13,2,0.15384615384615385
92,9,1,0.1111111111111111
93,32,16,0.5
94,26,8,0.3076923076923077
95,18,3,0.16666666666666666
96,13,3,0.23076923076923078
97,16,4,0.25
98,13,2,0.15384615384615385
99,10,1,0.1
100,12,0,0.0
101,10,0,0.0
