label,total,correct,accuracy
0,8,2,0.25
1,12,7,0.5833333333333334
2,8,1,0.125
3,11,1,0.09090909090909091
4,13,8,0.6153846153846154
5,9,5,0.5555555555555556
6,8,3,0.375
7,17,10,0.5882352941176471
8,9,6,0.6666666666666666
9,9,5,0.5555555555555556
10,17,0,0.0
11,17,11,0.6470588235294118
12,10,3,0.3
13,10,7,0.7
14,10,4,0.4
15,8,2,0.25
16,17,13,0.7647058823529411
17,16,5,0.3125
18,10,1,0.1
19,11,5,0.45454545454545453
20,8,4,0.5
21,12,6,0.5
22,18,6,0.3333333333333333
23,9,3,0.3333333333333333
24,8,2,0.25
25,8,1,0.125
26,8,4,0.5
27,13,11,0.8461538461538461
28,16,6,0.375
29,17,7,0.4117647058823529
30,11,0,0.0
31,9,0,0.0
32,9,0,0.0
33,8,0,0.0
34,9,4,0.4444444444444444
35,15,10,0.6666666666666666
36,22,19,0.8636363636363636
37,11,6,0.5454545454545454
38,8,1,0.125
39,13,6,0.46153846153846156
40,25,5,0.2
41,12,3,0.25
42,26,4,0.15384615384615385
43,19,10,0.5263157894736842
44,8,2,0.25
45,39,33,0.8461538461538461
46,13,6,0.46153846153846156
47,14,11,0.7857142857142857
48,10,4,0.4
49,18,8,0.4444444444444444
50,52,28,0.5384615384615384
51,17,15,0.8823529411764706
52,19,2,0.10526315789473684
53,12,6,0.5
54,14,9,0.6428571428571429
55,22,19,0.8636363636363636
56,13,7,0.5384615384615384
57,23,21,0.9130434782608695
58,13,12,0.9230769230769231
59,22,21,0.9545454545454546
60,10,10,1.0
61,11,1,0.09090909090909091
62,11,11,1.0
63,11,10,0.9090909090909091
64,20,15,0.75
65,12,10,0.8333333333333334
66,9,0,0.0
67,11,7,0.6363636363636364
68,11,4,0.36363636363636365
69,12,5,0.4166666666666667
70,16,10,0.625
71,19,5,0.2631578947368421
72,39,22,0.5641025641025641
73,34,13,0.38235294117647056
74,24,14,0.5833333333333334
75,21,10,0.47619047619047616
76,50,41,0.82
77,27,14,0.5185185185185185
78,8,2,0.25
79,21,6,0.2857142857142857
80,33,23,0.696969696969697
81,22,2,0.09090909090909091
82,26,4,0.15384615384615385
83,17,2,0.11764705882352941
84,13,5,0.38461538461538464
85,12,6,0.5
86,13,7,0.5384615384615384
87,31,22,0.7096774193548387
88,37,26,0.7027027027027027
89,16,3,0.1875
90,15,9,0.6
91,13,3,0.23076923076923078
92,9,3,0.3333333333333333
93,32,16,0.5
94,26,8,0.3076923076923077
95,18,4,0.2222222222222222
96,13,3,0.23076923076923078
97,16,6,0.375
98,13,0,0.0
99,10,4,0.4
100,12,3,0.25
101,10,4,0.4
