label,total,correct,accuracy
0,8,6,0.75
1,12,8,0.6666666666666666
2,8,2,0.25
3,11,1,0.09090909090909091
4,13,1,0.07692307692307693
5,9,6,0.6666666666666666
6,8,6,0.75
7,17,10,0.5882352941176471
8,9,7,0.7777777777777778
9,9,8,0.8888888888888888
10,17,0,0.0
11,17,16,0.9411764705882353
12,10,5,0.5
13,10,8,0.8
14,10,10,1.0
15,8,0,0.0
16,17,13,0.7647058823529411
17,16,6,0.375
18,10,0,0.0
19,11,3,0.2727272727272727
20,8,6,0.75
21,12,7,0.5833333333333334
22,18,4,0.2222222222222222
23,9,2,0.2222222222222222
24,8,4,0.5
25,8,3,0.375
26,8,3,0.375
27,13,8,0.6153846153846154
28,16,7,0.4375
29,17,11,0.6470588235294118
30,11,0,0.0
31,9,2,0.2222222222222222
32,9,5,0.5555555555555556
33,8,2,0.25
34,9,5,0.5555555555555556
35,15,11,0.7333333333333333
36,22,16,0.7272727272727273
37,11,5,0.45454545454545453
38,8,1,0.125
39,13,7,0.5384615384615384
40,25,8,0.32
41,12,5,0.4166666666666667
42,26,4,0.15384615384615385
43,19,9,0.47368421052631576
44,8,4,0.5
45,39,32,0.8205128205128205
46,13,5,0.38461538461538464
47,14,8,0.5714285714285714
48,10,9,0.9
49,18,11,0.6111111111111112
50,52,39,0.75
51,17,14,0.8235294117647058
52,19,3,0.15789473684210525
53,12,9,0.75
54,14,9,0.6428571428571429
55,22,21,0.9545454545454546
56,13,9,0.6923076923076923
57,23,20,0.8695652173913043
58,13,10,0.7692307692307693
59,22,21,0.9545454545454546
60,10,9,0.9
61,11,2,0.18181818181818182
62,11,11,1.0
63,11,11,1.0
64,20,16,0.8
65,12,11,0.9166666666666666
66,9,2,0.2222222222222222
67,11,6,0.5454545454545454
68,11,4,0.36363636363636365
69,12,7,0.5833333333333334
70,16,15,0.9375
71,19,5,0.2631578947368421
72,39,30,0.7692307692307693
73,34,10,0.29411764705882354
74,24,14,0.5833333333333334
75,21,9,0.42857142857142855
76,50,45,0.9
77,27,13,0.48148148148148145
78,8,3,0.375
79,21,5,0.23809523809523808
80,33,31,0.9393939393939394
81,22,13,0.5909090909090909
82,26,11,0.4230769230769231
83,17,2,0.11764705882352941
84,13,2,0.15384615384615385
85,12,4,0.3333333333333333
86,13,10,0.7692307692307693
87,31,19,0.6129032258064516
88,37,24,0.6486486486486487
89,16,3,0.1875
90,15,8,0.5333333333333333
91,13,5,0.38461538461538464
92,9,1,0.1111111111111111
93,32,24,0.75
94,26,10,0.38461538461538464
95,18,7,0.3888888888888889
96,13,4,0.3076923076923077
97,16,8,0.5
98,13,2,0.15384615384615385
99,10,7,0.7
100,12,5,0.4166666666666667
101,10,4,0.4
