label,total,correct,accuracy
0,8,3,0.375
1,12,8,0.6666666666666666
2,8,3,0.375
3,11,2,0.18181818181818182
4,13,7,0.5384615384615384
5,9,6,0.6666666666666666
6,8,4,0.5
7,17,14,0.8235294117647058
8,9,8,0.8888888888888888
9,9,7,0.7777777777777778
10,17,1,0.058823529411764705
11,17,15,0.8823529411764706
12,10,6,0.6
13,10,7,0.7
14,10,9,0.9
15,8,1,0.125
16,17,16,0.9411764705882353
17,16,7,0.4375
18,10,2,0.2
19,11,6,0.5454545454545454
20,8,6,0.75
21,12,9,0.75
22,18,6,0.3333333333333333
23,9,3,0.3333333333333333
24,8,5,0.625
25,8,3,0.375
26,8,5,0.625
27,13,8,0.6153846153846154
28,16,12,0.75
29,17,6,0.35294117647058826
30,11,1,0.09090909090909091
31,9,1,0.1111111111111111
32,9,4,0.4444444444444444
33,8,1,0.125
34,9,8,0.8888888888888888
35,15,11,0.7333333333333333
36,22,17,0.7727272727272727
37,11,7,0.6363636363636364
38,8,2,0.25
39,13,7,0.5384615384615384
40,25,10,0.4
41,12,5,0.4166666666666667
42,26,10,0.38461538461538464
43,19,13,0.6842105263157895
44,8,4,0.5
45,39,37,0.9487179487179487
46,13,4,0.3076923076923077
47,14,10,0.7142857142857143
48,10,7,0.7
49,18,10,0.5555555555555556
50,52,37,0.7115384615384616
51,17,14,0.8235294117647058
52,19,4,0.21052631578947367
53,12,6,0.5
54,14,11,0.7857142857142857
55,22,20,0.9090909090909091
56,13,9,0.6923076923076923
57,23,18,0.782608695652174
58,13,13,1.0
59,22,17,0.7727272727272727
60,10,9,0.9
61,11,4,0.36363636363636365
62,11,7,0.6363636363636364
63,11,7,0.6363636363636364
64,20,12,0.6
65,12,9,0.75
66,9,2,0.2222222222222222
67,11,5,0.45454545454545453
68,11,4,0.36363636363636365
69,12,8,0.6666666666666666
70,16,13,0.8125
71,19,3,0.15789473684210525
72,39,29,0.7435897435897436
73,34,13,0.38235294117647056
74,24,18,0.75
75,21,3,0.14285714285714285
76,50,42,0.84
77,27,14,0.5185185185185185
78,8,5,0.625
79,21,6,0.2857142857142857
80,33,30,0.9090909090909091
81,22,0,0.0
82,26,13,0.5
83,17,6,0.35294117647058826
84,13,1,0.07692307692307693
85,12,7,0.5833333333333334
86,13,10,0.7692307692307693
87,31,17,0.5483870967741935
88,37,22,0.5945945945945946
89,16,3,0.1875
90,15,9,0.6
91,13,8,0.6153846153846154
92,9,2,0.2222222222222222
93,32,25,0.78125
94,26,8,0.3076923076923077
95,18,5,0.2777777777777778
96,13,3,0.23076923076923078
97,16,8,0.5
98,13,5,0.38461538461538464
99,10,7,0.7
100,12,6,0.5
101,10,5,0.5
