label,total,correct,accuracy
0,8,4,0.5
1,12,9,0.75
2,8,2,0.25
3,11,3,0.2727272727272727
4,13,10,0.7692307692307693
5,9,6,0.6666666666666666
6,8,6,0.75
7,17,15,0.8823529411764706
8,9,8,0.8888888888888888
9,9,8,0.8888888888888888
10,17,0,0.0
11,17,15,0.8823529411764706
12,10,9,0.9
13,10,7,0.7
14,10,7,0.7
15,8,3,0.375
16,17,15,0.8823529411764706
17,16,7,0.4375
18,10,2,0.2
19,11,1,0.09090909090909091
20,8,6,0.75
21,12,6,0.5
22,18,6,0.3333333333333333
23,9,7,0.7777777777777778
24,8,5,0.625
25,8,4,0.5
26,8,5,0.625
27,13,7,0.5384615384615384
28,16,11,0.6875
29,17,8,0.47058823529411764
30,11,1,0.09090909090909091
31,9,0,0.0
32,9,3,0.3333333333333333
33,8,3,0.375
34,9,7,0.7777777777777778
35,15,9,0.6
36,22,19,0.8636363636363636
37,11,5,0.45454545454545453
38,8,2,0.25
39,13,8,0.6153846153846154
40,25,18,0.72
41,12,7,0.5833333333333334
42,26,4,0.15384615384615385
43,19,13,0.6842105263157895
44,8,4,0.5
45,39,31,0.7948717948717948
46,13,6,0.46153846153846156
47,14,10,0.7142857142857143
48,10,10,1.0
49,18,10,0.5555555555555556
50,52,31,0.5961538461538461
51,17,14,0.8235294117647058
52,19,5,0.2631578947368421
53,12,9,0.75
54,14,8,0.5714285714285714
55,22,20,0.9090909090909091
56,13,10,0.7692307692307693
57,23,20,0.8695652173913043
58,13,11,0.8461538461538461
59,22,20,0.9090909090909091
60,10,9,0.9
61,11,3,0.2727272727272727
62,11,10,0.9090909090909091
63,11,10,0.9090909090909091
64,20,16,0.8
65,12,11,0.9166666666666666
66,9,1,0.1111111111111111
67,11,8,0.7272727272727273
68,11,4,0.36363636363636365
69,12,11,0.9166666666666666
70,16,14,0.875
71,19,3,0.15789473684210525
72,39,35,0.8974358974358975
73,34,18,0.5294117647058824
74,24,22,0.9166666666666666
75,21,11,0.5238095238095238
76,50,47,0.94
77,27,12,0.4444444444444444
78,8,2,0.25
79,21,9,0.42857142857142855
80,33,33,1.0
81,22,10,0.45454545454545453
82,26,12,0.46153846153846156
83,17,5,0.29411764705882354
84,13,7,0.5384615384615384
85,12,4,0.3333333333333333
86,13,12,0.9230769230769231
87,31,23,0.7419354838709677
88,37,27,0.7297297297297297
89,16,6,0.375
90,15,8,0.5333333333333333
91,13,6,0.46153846153846156
92,9,1,0.1111111111111111
93,32,21,0.65625
94,26,9,0.34615384615384615
95,18,9,0.5
96,13,3,0.23076923076923078
97,16,9,0.5625
98,13,5,0.38461538461538464
99,10,7,0.7
100,12,6,0.5
101,10,4,0.4
