label,total,correct,accuracy
0,8,5,0.625
1,12,8,0.6666666666666666
2,8,2,0.25
3,11,4,0.36363636363636365
4,13,4,0.3076923076923077
5,9,6,0.6666666666666666
6,8,4,0.5
7,17,14,0.8235294117647058
8,9,6,0.6666666666666666
9,9,8,0.8888888888888888
10,17,2,0.11764705882352941
11,17,14,0.8235294117647058
12,10,4,0.4
13,10,7,0.7
14,10,8,0.8
15,8,1,0.125
16,17,15,0.8823529411764706
17,16,8,0.5
18,10,2,0.2
19,11,2,0.18181818181818182
20,8,6,0.75
21,12,5,0.4166666666666667
22,18,8,0.4444444444444444
23,9,5,0.5555555555555556
24,8,3,0.375
25,8,5,0.625
26,8,4,0.5
27,13,7,0.5384615384615384
28,16,10,0.625
29,17,8,0.47058823529411764
30,11,3,0.2727272727272727
31,9,1,0.1111111111111111
32,9,4,0.4444444444444444
33,8,4,0.5
34,9,7,0.7777777777777778
35,15,9,0.6
36,22,20,0.9090909090909091
37,11,2,0.18181818181818182
38,8,1,0.125
39,13,6,0.46153846153846156
40,25,20,0.8
41,12,7,0.5833333333333334
42,26,7,0.2692307692307692
43,19,10,0.5263157894736842
44,8,4,0.5
45,39,35,0.8974358974358975
46,13,11,0.8461538461538461
47,14,8,0.5714285714285714
48,10,8,0.8
49,18,13,0.7222222222222222
50,52,35,0.6730769230769231
51,17,15,0.8823529411764706
52,19,8,0.42105263157894735
53,12,10,0.8333333333333334
54,14,13,0.9285714285714286
55,22,20,0.9090909090909091
56,13,10,0.7692307692307693
57,23,19,0.8260869565217391
58,13,13,1.0
59,22,22,1.0
60,10,10,1.0
61,11,3,0.2727272727272727
62,11,10,0.9090909090909091
63,11,11,1.0
64,20,17,0.85
65,12,12,1.0
66,9,1,0.1111111111111111
67,11,7,0.6363636363636364
68,11,7,0.6363636363636364
69,12,10,0.8333333333333334
70,16,14,0.875
71,19,5,0.2631578947368421
72,39,32,0.8205128205128205
73,34,27,0.7941176470588235
74,24,21,0.875
75,21,9,0.42857142857142855
76,50,47,0.94
77,27,20,0.7407407407407407
78,8,3,0.375
79,21,12,0.5714285714285714
80,33,25,0.7575757575757576
81,22,8,0.36363636363636365
82,26,8,0.3076923076923077
83,17,1,0.058823529411764705
84,13,2,0.15384615384615385
85,12,6,0.5
86,13,9,0.6923076923076923
87,31,20,0.6451612903225806
88,37,27,0.7297297297297297
89,16,7,0.4375
90,15,11,0.7333333333333333
91,13,6,0.46153846153846156
92,9,3,0.3333333333333333
93,32,15,0.46875
94,26,12,0.46153846153846156
95,18,11,0.6111111111111112
96,13,2,0.15384615384615385
97,16,6,0.375
98,13,5,0.38461538461538464
99,10,6,0.6
100,12,1,0.08333333333333333
101,10,4,0.4
