label,total,correct,accuracy
0,8,4,0.5
1,12,10,0.8333333333333334
2,8,0,0.0
3,11,2,0.18181818181818182
4,13,8,0.6153846153846154
5,9,6,0.6666666666666666
6,8,6,0.75
7,17,15,0.8823529411764706
8,9,4,0.4444444444444444
9,9,7,0.7777777777777778
10,17,0,0.0
11,17,15,0.8823529411764706
12,10,4,0.4
13,10,7,0.7
14,10,9,0.9
15,8,3,0.375
16,17,15,0.8823529411764706
17,16,7,0.4375
18,10,0,0.0
19,11,1,0.09090909090909091
20,8,6,0.75
21,12,9,0.75
22,18,5,0.2777777777777778
23,9,5,0.5555555555555556
24,8,4,0.5
25,8,2,0.25
26,8,5,0.625
27,13,8,0.6153846153846154
28,16,8,0.5
29,17,11,0.6470588235294118
30,11,0,0.0
31,9,0,0.0
32,9,2,0.2222222222222222
33,8,2,0.25
34,9,5,0.5555555555555556
35,15,11,0.7333333333333333
36,22,17,0.7727272727272727
37,11,6,0.5454545454545454
38,8,0,0.0
39,13,6,0.46153846153846156
40,25,11,0.44
41,12,8,0.6666666666666666
42,26,8,0.3076923076923077
43,19,10,0.5263157894736842
44,8,4,0.5
45,39,33,0.8461538461538461
46,13,2,0.15384615384615385
47,14,10,0.7142857142857143
48,10,7,0.7
49,18,10,0.5555555555555556
50,52,28,0.5384615384615384
51,17,14,0.8235294117647058
52,19,6,0.3157894736842105
53,12,8,0.6666666666666666
54,14,10,0.7142857142857143
55,22,21,0.9545454545454546
56,13,8,0.6153846153846154
57,23,20,0.8695652173913043
58,13,12,0.9230769230769231
59,22,21,0.9545454545454546
60,10,9,0.9
61,11,4,0.36363636363636365
62,11,11,1.0
63,11,10,0.9090909090909091
64,20,14,0.7
65,12,11,0.9166666666666666
66,9,3,0.3333333333333333
67,11,5,0.45454545454545453
68,11,4,0.36363636363636365
69,12,8,0.6666666666666666
70,16,15,0.9375
71,19,5,0.2631578947368421
72,39,35,0.8974358974358975
73,34,22,0.6470588235294118
74,24,19,0.7916666666666666
75,21,10,0.47619047619047616
76,50,49,0.98
77,27,17,0.6296296296296297
78,8,4,0.5
79,21,3,0.14285714285714285
80,33,32,0.9696969696969697
81,22,9,0.4090909090909091
82,26,7,0.2692307692307692
83,17,2,0.11764705882352941
84,13,3,0.23076923076923078
85,12,6,0.5
86,13,11,0.8461538461538461
87,31,21,0.6774193548387096
88,37,29,0.7837837837837838
89,16,6,0.375
90,15,9,0.6
91,13,7,0.5384615384615384
92,9,3,0.3333333333333333
93,32,24,0.75
94,26,11,0.4230769230769231
95,18,9,0.5
96,13,3,0.23076923076923078
97,16,10,0.625
98,13,5,0.38461538461538464
99,10,8,0.8
100,12,4,0.3333333333333333
101,10,5,0.5
