label,total,correct,accuracy
0,8,6,0.75
1,12,10,0.8333333333333334
2,8,2,0.25
3,11,0,0.0
4,13,5,0.38461538461538464
5,9,6,0.6666666666666666
6,8,7,0.875
7,17,15,0.8823529411764706
8,9,5,0.5555555555555556
9,9,8,0.8888888888888888
10,17,0,0.0
11,17,14,0.8235294117647058
12,10,5,0.5
13,10,7,0.7
14,10,8,0.8
15,8,3,0.375
16,17,15,0.8823529411764706
17,16,4,0.25
18,10,1,0.1
19,11,1,0.09090909090909091
20,8,6,0.75
21,12,7,0.5833333333333334
22,18,6,0.3333333333333333
23,9,6,0.6666666666666666
24,8,6,0.75
25,8,3,0.375
26,8,3,0.375
27,13,7,0.5384615384615384
28,16,5,0.3125
29,17,9,0.5294117647058824
30,11,1,0.09090909090909091
31,9,0,0.0
32,9,2,0.2222222222222222
33,8,2,0.25
34,9,6,0.6666666666666666
35,15,10,0.6666666666666666
36,22,18,0.8181818181818182
37,11,6,0.5454545454545454
38,8,0,0.0
39,13,6,0.46153846153846156
40,25,12,0.48
41,12,8,0.6666666666666666
42,26,9,0.34615384615384615
43,19,10,0.5263157894736842
44,8,5,0.625
45,39,34,0.8717948717948718
46,13,1,0.07692307692307693
47,14,11,0.7857142857142857
48,10,9,0.9
49,18,9,0.5
50,52,27,0.5192307692307693
51,17,15,0.8823529411764706
52,19,6,0.3157894736842105
53,12,9,0.75
54,14,9,0.6428571428571429
55,22,22,1.0
56,13,10,0.7692307692307693
57,23,21,0.9130434782608695
58,13,10,0.7692307692307693
59,22,20,0.9090909090909091
60,10,9,0.9
61,11,5,0.45454545454545453
62,11,11,1.0
63,11,11,1.0
64,20,17,0.85
65,12,11,0.9166666666666666
66,9,2,0.2222222222222222
67,11,5,0.45454545454545453
68,11,4,0.36363636363636365
69,12,7,0.5833333333333334
70,16,11,0.6875
71,19,4,0.21052631578947367
72,39,34,0.8717948717948718
73,34,26,0.7647058823529411
74,24,16,0.6666666666666666
75,21,11,0.5238095238095238
76,50,50,1.0
77,27,18,0.6666666666666666
78,8,5,0.625
79,21,3,0.14285714285714285
80,33,29,0.8787878787878788
81,22,5,0.22727272727272727
82,26,6,0.23076923076923078
83,17,1,0.058823529411764705
84,13,2,0.15384615384615385
85,12,6,0.5
86,13,11,0.8461538461538461
87,31,22,0.7096774193548387
88,37,25,0.6756756756756757
89,16,5,0.3125
90,15,9,0.6
91,13,5,0.38461538461538464
92,9,3,0.3333333333333333
93,32,25,0.78125
94,26,12,0.46153846153846156
95,18,8,0.4444444444444444
96,13,6,0.46153846153846156
97,16,6,0.375
98,13,7,0.5384615384615384
99,10,8,0.8
100,12,2,0.16666666666666666
101,10,5,0.5
