label,total,correct,accuracy
0,8,0,0.0
1,12,10,0.8333333333333334
2,8,0,0.0
3,11,1,0.09090909090909091
4,13,4,0.3076923076923077
5,9,5,0.5555555555555556
6,8,3,0.375
7,17,13,0.7647058823529411
8,9,5,0.5555555555555556
9,9,8,0.8888888888888888
10,17,0,0.0
11,17,10,0.5882352941176471
12,10,1,0.1
13,10,8,0.8
14,10,8,0.8
15,8,2,0.25
16,17,14,0.8235294117647058
17,16,5,0.3125
18,10,2,0.2
19,11,2,0.18181818181818182
20,8,1,0.125
21,12,4,0.3333333333333333
22,18,9,0.5
23,9,1,0.1111111111111111
24,8,1,0.125
25,8,4,0.5
26,8,3,0.375
27,13,10,0.7692307692307693
28,16,11,0.6875
29,17,6,0.35294117647058826
30,11,0,0.0
31,9,0,0.0
32,9,4,0.4444444444444444
33,8,0,0.0
34,9,5,0.5555555555555556
35,15,10,0.6666666666666666
36,22,18,0.8181818181818182
37,11,1,0.09090909090909091
38,8,0,0.0
39,13,4,0.3076923076923077
40,25,6,0.24
41,12,5,0.4166666666666667
42,26,5,0.19230769230769232
43,19,8,0.42105263157894735
44,8,0,0.0
45,39,31,0.7948717948717948
46,13,1,0.07692307692307693
47,14,6,0.42857142857142855
48,10,5,0.5
49,18,9,0.5
50,52,30,0.5769230769230769
51,17,12,0.7058823529411765
52,19,0,0.0
53,12,10,0.8333333333333334
54,14,8,0.5714285714285714
55,22,21,0.9545454545454546
56,13,8,0.6153846153846154
57,23,17,0.7391304347826086
58,13,8,0.6153846153846154
59,22,22,1.0
60,10,10,1.0
61,11,0,0.0
62,11,10,0.9090909090909091
63,11,9,0.8181818181818182
64,20,17,0.85
65,12,11,0.9166666666666666
66,9,3,0.3333333333333333
67,11,5,0.45454545454545453
68,11,2,0.18181818181818182
69,12,8,0.6666666666666666
70,16,11,0.6875
71,19,1,0.05263157894736842
72,39,34,0.8717948717948718
73,34,14,0.4117647058823529
74,24,22,0.9166666666666666
75,21,9,0.42857142857142855
76,50,44,0.88
77,27,16,0.5925925925925926
78,8,2,0.25
79,21,7,0.3333333333333333
80,33,30,0.9090909090909091
81,22,3,0.13636363636363635
82,26,6,0.23076923076923078
83,17,0,0.0
84,13,2,0.15384615384615385
85,12,5,0.4166666666666667
86,13,9,0.6923076923076923
87,31,16,0.5161290322580645
88,37,25,0.6756756756756757
89,16,2,0.125
90,15,8,0.5333333333333333
91,13,1,0.07692307692307693
92,9,2,0.2222222222222222
93,32,21,0.65625
94,26,11,0.4230769230769231
95,18,2,0.1111111111111111
96,13,2,0.15384615384615385
97,16,9,0.5625
98,13,0,0.0
99,10,5,0.5
100,12,7,0.5833333333333334
101,10,1,0.1
