label,total,correct,accuracy
0,8,5,0.625
1,12,11,0.9166666666666666
2,8,1,0.125
3,11,3,0.2727272727272727
4,13,5,0.38461538461538464
5,9,6,0.6666666666666666
6,8,5,0.625
7,17,15,0.8823529411764706
8,9,5,0.5555555555555556
9,9,8,0.8888888888888888
10,17,1,0.058823529411764705
11,17,10,0.5882352941176471
12,10,3,0.3
13,10,8,0.8
14,10,9,0.9
15,8,1,0.125
16,17,14,0.8235294117647058
17,16,8,0.5
18,10,2,0.2
19,11,2,0.18181818181818182
20,8,7,0.875
21,12,6,0.5
22,18,7,0.3888888888888889
23,9,3,0.3333333333333333
24,8,3,0.375
25,8,4,0.5
26,8,4,0.5
27,13,9,0.6923076923076923
28,16,10,0.625
29,17,3,0.17647058823529413
30,11,2,0.18181818181818182
31,9,0,0.0
32,9,1,0.1111111111111111
33,8,1,0.125
34,9,7,0.7777777777777778
35,15,9,0.6
36,22,17,0.7727272727272727
37,11,7,0.6363636363636364
38,8,1,0.125
39,13,5,0.38461538461538464
40,25,10,0.4
41,12,6,0.5
42,26,7,0.2692307692307692
43,19,10,0.5263157894736842
44,8,3,0.375
45,39,38,0.9743589743589743
46,13,5,0.38461538461538464
47,14,8,0.5714285714285714
48,10,6,0.6
49,18,10,0.5555555555555556
50,52,27,0.5192307692307693
51,17,16,0.9411764705882353
52,19,2,0.10526315789473684
53,12,8,0.6666666666666666
54,14,8,0.5714285714285714
55,22,19,0.8636363636363636
56,13,8,0.6153846153846154
57,23,22,0.9565217391304348
58,13,13,1.0
59,22,22,1.0
60,10,10,1.0
61,11,3,0.2727272727272727
62,11,9,0.8181818181818182
63,11,10,0.9090909090909091
64,20,17,0.85
65,12,11,0.9166666666666666
66,9,3,0.3333333333333333
67,11,7,0.6363636363636364
68,11,4,0.36363636363636365
69,12,8,0.6666666666666666
70,16,14,0.875
71,19,4,0.21052631578947367
72,39,28,0.717948717948718
73,34,14,0.4117647058823529
74,24,17,0.7083333333333334
75,21,8,0.38095238095238093
76,50,47,0.94
77,27,20,0.7407407407407407
78,8,4,0.5
79,21,7,0.3333333333333333
80,33,28,0.8484848484848485
81,22,2,0.09090909090909091
82,26,3,0.11538461538461539
83,17,1,0.058823529411764705
84,13,1,0.07692307692307693
85,12,6,0.5
86,13,10,0.7692307692307693
87,31,10,0.3225806451612903
88,37,27,0.7297297297297297
89,16,5,0.3125
90,15,10,0.6666666666666666
91,13,7,0.5384615384615384
92,9,2,0.2222222222222222
93,32,11,0.34375
94,26,9,0.34615384615384615
95,18,4,0.2222222222222222
96,13,2,0.15384615384615385
97,16,7,0.4375
98,13,2,0.15384615384615385
99,10,7,0.7
100,12,7,0.5833333333333334
101,10,5,0.5
