index,split,image_filename,relative_path,label,class_name,source_split,source_index,source_filename,noise_type,feature_noise_type,feature_noise_value,label_noise_type,label_noise_value,original_label,original_class_name,label_noise_applied
3,train,train_00003.jpg,images/train_00003.jpg,23,red ginger,test,898,image_06838.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,23,red ginger,0
5,train,train_00005.jpg,images/train_00005.jpg,7,bird of paradise,test,216,image_03296.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,7,bird of paradise,0
6,train,train_00006.jpg,images/train_00006.jpg,91,bee balm,test,5510,image_03030.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,91,bee balm,0
8,train,train_00008.jpg,images/train_00008.jpg,48,oxeye daisy,test,4528,image_02038.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,79,anthurium,1
10,train,train_00010.jpg,images/train_00010.jpg,37,great masterwort,val,371,image_05800.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,37,great masterwort,0
11,train,train_00011.jpg,images/train_00011.jpg,17,peruvian lily,test,692,image_04306.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,17,peruvian lily,0
12,train,train_00012.jpg,images/train_00012.jpg,78,toad lily,val,788,image_06696.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,78,toad lily,0
13,train,train_00013.jpg,images/train_00013.jpg,8,monkshood,test,291,image_06429.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,8,monkshood,0
14,train,train_00014.jpg,images/train_00014.jpg,94,bougainvillea,train,947,image_07570.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,94,bougainvillea,0
15,train,train_00015.jpg,images/train_00015.jpg,35,ruby-lipped cattleya,train,359,image_04358.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,35,ruby-lipped cattleya,0
17,train,train_00017.jpg,images/train_00017.jpg,96,mallow,train,965,image_07711.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,96,mallow,0
18,train,train_00018.jpg,images/train_00018.jpg,55,bishop of llandaff,test,2710,image_02763.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,55,bishop of llandaff,0
23,train,train_00023.jpg,images/train_00023.jpg,50,petunia,test,2439,image_01490.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,50,petunia,0
24,train,train_00024.jpg,images/train_00024.jpg,30,carnation,train,306,image_06910.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,30,carnation,0
26,train,train_00026.jpg,images/train_00026.jpg,7,bird of paradise,val,74,image_03295.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,7,bird of paradise,0
29,train,train_00029.jpg,images/train_00029.jpg,96,mallow,test,5943,image_07744.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,96,mallow,0
30,train,train_00030.jpg,images/train_00030.jpg,59,pink-yellow dahlia?,test,3035,image_02986.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,59,pink-yellow dahlia?,0
33,train,train_00033.jpg,images/train_00033.jpg,58,orange dahlia,test,2974,image_05076.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,58,orange dahlia,0
35,train,train_00035.jpg,images/train_00035.jpg,97,mexican petunia,test,1792,image_01518.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,43,poinsettia,1
36,train,train_00036.jpg,images/train_00036.jpg,91,bee balm,test,5517,image_03040.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,91,bee balm,0
37,train,train_00037.jpg,images/train_00037.jpg,7,bird of paradise,train,77,image_03294.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,7,bird of paradise,0
38,train,train_00038.jpg,images/train_00038.jpg,82,hibiscus,test,4859,image_01772.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,82,hibiscus,0
41,train,train_00041.jpg,images/train_00041.jpg,53,sunflower,val,538,image_05449.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,53,sunflower,0
42,train,train_00042.jpg,images/train_00042.jpg,66,spring crocus,test,3334,image_07067.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,66,spring crocus,0
43,train,train_00043.jpg,images/train_00043.jpg,50,petunia,test,2416,image_03940.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,50,petunia,0
44,train,train_00044.jpg,images/train_00044.jpg,70,gazania,test,3512,image_08089.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,70,gazania,0
